song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Touch,KATSEYE,2,3.0,4.0,47,48.5,0.00031496062992125983,0.00023622047244094486
Lovin On Me,Jack Harlow,2,2.5,3.0,47,48.0,0.00031496062992125983,0.00027559055118110237
I will come to you,Jin,1,2.0,2.0,47,47.0,0.00031496062992125983,0.00031496062992125983
Intro: Singularity,BTS,2,3.5,4.0,49,49.0,0.00031496062992125983,0.00027559055118110237
bye,Ariana Grande,1,2.0,2.0,47,47.0,0.00031496062992125983,0.00031496062992125983
But Sometimes,BOYNEXTDOOR,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983
Fighting (Feat. Lee Young Ji),BSS,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983
Baggy Jeans,NCT,1,7.0,7.0,50,50.0,0.00027559055118110237,0.00027559055118110237
Drowning,WOODZ,2,2.5,3.0,49,49.0,0.00023622047244094488,0.0001968503937007874
Fact Check,NCT 127,1,6.0,6.0,50,50.0,0.00023622047244094488,0.00023622047244094488
Trust in me,Lim Young Woong,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486
Pleasure Shop,KEY,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486
Big Dawgs,Hanumankind & Kalmi,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486
Cupid,FIFTY FIFTY,1,5.0,5.0,50,50.0,0.0001968503937007874,0.0001968503937007874
Fortnight (feat. Post Malone),Taylor Swift,2,3.0,4.0,50,50.0,0.00015748031496062991,0.00011811023622047243
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991
SHEESH,BABYMONSTER,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991
