song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Cupid - Twin Ver.,FIFTY FIFTY,3,6.333333333333333,11.0,43,47.333333333333336,0.0009448818897637795,0.0005905511811023622
Hate You,Jung Kook,6,2.5,3.0,39,44.5,0.0009448818897637794,0.0006233595800524934
Candy (Feat. Zion.T),Jay Park,3,3.6666666666666665,4.0,45,47.333333333333336,0.0009448818897637794,0.0005249343832020996
녹아내려요 Melt Down,DAY6,1,2.0,2.0,40,40.0,0.0008661417322834645,0.0008661417322834645
My Starry Love,Lim Young Woong,3,11.333333333333334,21.0,48,49.0,0.0008267716535433072,0.0006824146981627297
Discord,QWER,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072
"Steal The Show - From ""Elemental""",Lauv,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072
Still With You,Jung Kook,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072
Sugarcoat (NATTY Solo),KISS OF LIFE,3,3.0,4.0,44,46.333333333333336,0.0007874015748031496,0.0005249343832020997
Rockstar,LISA,1,2.0,2.0,41,41.0,0.0007874015748031496,0.0007874015748031496
CHIHIRO,Billie Eilish,1,4.0,4.0,46,46.0,0.0007874015748031496,0.0007874015748031496
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,2,2.0,2.0,41,41.0,0.0007874015748031496,0.0007874015748031496
Love You With All My Heart,Crush,1,6.0,6.0,48,48.0,0.0007086614173228346,0.0007086614173228346
I’ll See You There Tomorrow,TOMORROW X TOGETHER,1,3.0,3.0,45,45.0,0.0007086614173228346,0.0007086614173228346
Klaxon,(G)I-DLE,2,3.0,3.0,45,46.0,0.0007086614173228346,0.0005905511811023622
Bite Me,ENHYPEN,1,4.0,4.0,47,47.0,0.0006299212598425197,0.0006299212598425197
Kill Bill,SZA,3,2.6666666666666665,4.0,46,47.333333333333336,0.0006299212598425197,0.0003937007874015748
Elevator,Lim Young Woong,3,6.666666666666667,16.0,49,49.666666666666664,0.0006299212598425197,0.0002887139107611548
Haegeum,Agust D,5,3.4,4.0,45,47.8,0.0006299212598425197,0.0004015748031496063
Better Things,aespa,2,9.5,16.0,50,50.0,0.0006299212598425197,0.00037401574803149607
Taste,Sabrina Carpenter,3,3.6666666666666665,4.0,47,48.0,0.0006299212598425197,0.00045931758530183726
SOS,KANGDANIEL,3,4.0,8.0,45,47.0,0.0006299212598425197,0.0004724409448818897
Spicy,aespa,1,3.0,3.0,46,46.0,0.0005905511811023622,0.0005905511811023622
Spring Snow,10CM,3,3.0,4.0,44,46.666666666666664,0.0005905511811023622,0.0004330708661417323
MANIAC,VIVIZ,4,5.0,11.0,48,48.75,0.0005905511811023622,0.00035433070866141734
K-POP,Travis Scott & Bad Bunny & The Weeknd,1,3.0,3.0,46,46.0,0.0005905511811023622,0.0005905511811023622
Teddy Bear,STAYC,4,2.5,3.0,45,46.5,0.0005905511811023622,0.00044291338582677165
ABCD,NAYEON,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047
Saturn,SZA,2,4.5,7.0,46,47.5,0.0005511811023622047,0.00047244094488188977
NEMONEMO,YENA,5,3.2,6.0,44,47.8,0.0005511811023622047,0.0003622047244094488
예뻤어,DAY6,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047
"How can I love the heartbreak, you're the one I love",AKMU,2,2.0,2.0,44,46.5,0.0005511811023622047,0.00035433070866141734
