song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category
"무제(無題) (Untitled, 2014)",G-DRAGON,1,22.0,22.0,43,43.0,0.006929133858267717,0.006929133858267717,0.03225806451612903,0.16,0.06298196596393192,Low
SOS,KANGDANIEL,3,4.0,8.0,45,47.0,0.0006299212598425197,0.0004724409448818897,0.0967741935483871,0.08,0.06285140970281941,Low
Like Crazy (Instrumental),Jimin,2,4.0,6.0,41,45.0,0.002362204724409449,0.0012598425196850393,0.06451612903225806,0.12,0.06218440436880874,Low
wherever u r (ft. V of BTS),UMI & V,2,4.0,6.0,41,45.0,0.002362204724409449,0.0012598425196850393,0.06451612903225806,0.12,0.06218440436880874,Low
Little Light,DOYOUNG,1,3.0,3.0,43,43.0,0.0009448818897637795,0.0009448818897637795,0.03225806451612903,0.16,0.061186690373380745,Low
Cupid - Twin Ver.,FIFTY FIFTY,3,6.333333333333333,11.0,43,47.333333333333336,0.0009448818897637795,0.0005905511811023622,0.0967741935483871,0.07333333333333329,0.06088684277368554,Low
Candy (Feat. Zion.T),Jay Park,3,3.6666666666666665,4.0,45,47.333333333333336,0.0009448818897637794,0.0005249343832020996,0.0967741935483871,0.07333333333333329,0.06086715773431546,Low
Kill Bill,SZA,3,2.6666666666666665,4.0,46,47.333333333333336,0.0006299212598425197,0.0003937007874015748,0.0967741935483871,0.07333333333333329,0.060827787655575304,Low
For Us,V,1,52.0,52.0,44,44.0,0.014330708661417325,0.014330708661417325,0.03225806451612903,0.14,0.05920243840487681,Low
Loving You,Lim Young Woong,3,5.333333333333333,12.0,46,47.666666666666664,0.002362204724409449,0.0009186351706036745,0.0967741935483871,0.06666666666666671,0.05898526797053595,Low
Taste,Sabrina Carpenter,3,3.6666666666666665,4.0,47,48.0,0.0006299212598425197,0.00045931758530183726,0.0967741935483871,0.06,0.056847472694945396,Low
Broken Melodies,NCT DREAM,1,20.0,20.0,44,44.0,0.005511811023622048,0.005511811023622048,0.03225806451612903,0.14,0.05655676911353823,Low
Klaxon,(G)I-DLE,2,3.0,3.0,45,46.0,0.0007086614173228346,0.0005905511811023622,0.06451612903225806,0.1,0.05598361696723393,Low
Don't Look Back in Anger - Remastered,Oasis,2,2.0,2.0,45,46.0,0.0004724409448818897,0.0003937007874015748,0.06451612903225806,0.1,0.05592456184912369,Low
Christmas Tree,V,1,9.0,9.0,44,44.0,0.0024803149606299215,0.0024803149606299215,0.03225806451612903,0.14,0.05564732029464059,Low
Chk Chk Boom,Stray Kids,1,4.0,4.0,44,44.0,0.0011023622047244095,0.0011023622047244095,0.03225806451612903,0.14,0.055233934467868936,Low
Discord,QWER,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072,0.03225806451612903,0.14,0.055151257302514606,Low
Still With You,Jung Kook,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072,0.03225806451612903,0.14,0.055151257302514606,Low
"Steal The Show - From ""Elemental""",Lauv,1,3.0,3.0,44,44.0,0.0008267716535433072,0.0008267716535433072,0.03225806451612903,0.14,0.055151257302514606,Low
Swan Song,LE SSERAFIM,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047,0.03225806451612903,0.14,0.055068580137160275,Low
ABCD,NAYEON,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047,0.03225806451612903,0.14,0.055068580137160275,Low
예뻤어,DAY6,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047,0.03225806451612903,0.14,0.055068580137160275,Low
LOVE DIVE,IVE,3,10.0,21.0,48,48.666666666666664,0.0024803149606299215,0.0010629921259842521,0.0967741935483871,0.04666666666666672,0.053028575057150126,Low
"How can I love the heartbreak, you're the one I love",AKMU,2,2.0,2.0,44,46.5,0.0005511811023622047,0.00035433070866141734,0.06451612903225806,0.09,0.05291275082550165,Low
My Starry Love,Lim Young Woong,3,11.333333333333334,21.0,48,49.0,0.0008267716535433072,0.0006824146981627297,0.0967741935483871,0.04,0.050914401828803656,Low
Pump Up The Volume!,PLAVE,2,17.5,33.0,47,47.0,0.0051968503937007875,0.0027559055118110236,0.06451612903225806,0.08,0.050633223266446536,Low
CROOKED,G-DRAGON,2,10.5,17.0,47,47.0,0.002677165354330709,0.0016535433070866143,0.06451612903225806,0.08,0.050302514605029214,Low
I’ll See You There Tomorrow,TOMORROW X TOGETHER,1,3.0,3.0,45,45.0,0.0007086614173228346,0.0007086614173228346,0.03225806451612903,0.12,0.04911582423164846,Low
MEOW,MEOVV,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897,0.03225806451612903,0.12,0.04904495808991618,Low
Don't Look Back In Anger - Remastered,Oasis,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897,0.03225806451612903,0.12,0.04904495808991618,Low
CRAZY,LE SSERAFIM,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897,0.03225806451612903,0.12,0.04904495808991618,Low
Baddie,IVE,3,14.0,18.0,49,49.333333333333336,0.0012598425196850393,0.0008661417322834646,0.0967741935483871,0.033333333333333284,0.04896951993903986,Low
Saturn,SZA,2,4.5,7.0,46,47.5,0.0005511811023622047,0.00047244094488188977,0.06451612903225806,0.07,0.0469481838963678,Low
Elevator,Lim Young Woong,3,6.666666666666667,16.0,49,49.666666666666664,0.0006299212598425197,0.0002887139107611548,0.0967741935483871,0.026666666666666713,0.0467962915925832,Low
Love Station,Lim Young Woong,3,5.666666666666667,12.0,49,49.666666666666664,0.00047244094488188977,0.00024934383202099736,0.0967741935483871,0.026666666666666713,0.04678448056896115,Low
vampire,Olivia Rodrigo,2,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173,0.06451612903225806,0.06,0.04391275082550165,Low
Super,SEVENTEEN,2,3.0,3.0,47,48.0,0.00047244094488188977,0.00035433070866141734,0.06451612903225806,0.06,0.04391275082550165,Low
Lovin On Me,Jack Harlow,2,2.5,3.0,47,48.0,0.00031496062992125983,0.00027559055118110237,0.06451612903225806,0.06,0.043889128778257555,Low
CHIHIRO,Billie Eilish,1,4.0,4.0,46,46.0,0.0007874015748031496,0.0007874015748031496,0.03225806451612903,0.1,0.04313944627889255,Low
K-POP,Travis Scott & Bad Bunny & The Weeknd,1,3.0,3.0,46,46.0,0.0005905511811023622,0.0005905511811023622,0.03225806451612903,0.1,0.04308039116078232,Low
Spicy,aespa,1,3.0,3.0,46,46.0,0.0005905511811023622,0.0005905511811023622,0.03225806451612903,0.1,0.04308039116078232,Low
Like That,Future & Metro Boomin,1,2.0,2.0,46,46.0,0.0003937007874015748,0.0003937007874015748,0.03225806451612903,0.1,0.04302133604267208,Low
No Tomorrow - Spotify Singles,Various Artists,1,2.0,2.0,46,46.0,0.0003937007874015748,0.0003937007874015748,0.03225806451612903,0.1,0.04302133604267208,Low
GODS,League of Legends & NewJeans,2,4.5,6.0,48,48.5,0.00047244094488188977,0.0004133858267716535,0.06451612903225806,0.05,0.04093046736093472,Low
Touch,KATSEYE,2,3.0,4.0,47,48.5,0.00031496062992125983,0.00023622047244094486,0.06451612903225806,0.05,0.0408773177546355,Low
WAY 4 LUV,PLAVE,1,55.0,55.0,47,47.0,0.008661417322834646,0.008661417322834646,0.03225806451612903,0.08,0.039501651003302,Low
Intro: Singularity,BTS,2,3.5,4.0,49,49.0,0.00031496062992125983,0.00027559055118110237,0.06451612903225806,0.04,0.03788912877825756,Low
In Bloom,ZEROBASEONE,2,3.0,3.0,48,49.0,0.0003543307086614173,0.00023622047244094486,0.06451612903225806,0.04,0.03787731775463551,Low
Drowning,WOODZ,2,2.5,3.0,49,49.0,0.00023622047244094488,0.0001968503937007874,0.06451612903225806,0.04,0.037865506731013465,Low
Mars,D.O.,1,6.0,6.0,47,47.0,0.0009448818897637795,0.0009448818897637795,0.03225806451612903,0.08,0.037186690373380744,Low
Bite Me,ENHYPEN,1,4.0,4.0,47,47.0,0.0006299212598425197,0.0006299212598425197,0.03225806451612903,0.08,0.037092202184404365,Low
bye,Ariana Grande,1,2.0,2.0,47,47.0,0.00031496062992125983,0.00031496062992125983,0.03225806451612903,0.08,0.03699771399542799,Low
I will come to you,Jin,1,2.0,2.0,47,47.0,0.00031496062992125983,0.00031496062992125983,0.03225806451612903,0.08,0.03699771399542799,Low
Queencard,(G)I-DLE,2,9.0,13.0,49,49.5,0.0005118110236220473,0.00045275590551181104,0.06451612903225806,0.03,0.03494227838455677,Low
Midas Touch,KISS OF LIFE,2,5.0,8.0,49,49.5,0.00031496062992125983,0.00023622047244094486,0.06451612903225806,0.03,0.034877317754635505,Low
Kitsch,IVE,2,2.0,2.0,49,49.5,0.00015748031496062991,0.00011811023622047243,0.06451612903225806,0.03,0.034841884683769364,Low
Vancouver,BIG Naughty,2,51.5,101.0,50,50.0,0.003976377952755906,0.0020275590551181106,0.06451612903225806,0.02,0.03241471932943866,Low
Better Things,aespa,2,9.5,16.0,50,50.0,0.0006299212598425197,0.00037401574803149607,0.06451612903225806,0.02,0.031918656337312674,Low
Fortnight (feat. Post Malone),Taylor Swift,2,3.0,4.0,50,50.0,0.00015748031496062991,0.00011811023622047243,0.06451612903225806,0.02,0.03184188468376937,Low
Love Me Like This,NMIXX,2,2.5,3.0,50,50.0,0.00011811023622047244,9.84251968503937e-05,0.06451612903225806,0.02,0.031835979171958344,Low
Love You With All My Heart,Crush,1,6.0,6.0,48,48.0,0.0007086614173228346,0.0007086614173228346,0.03225806451612903,0.06,0.031115824231648465,Low
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,1,4.0,4.0,48,48.0,0.0004724409448818897,0.0004724409448818897,0.03225806451612903,0.06,0.03104495808991618,Low
Cool With You,NewJeans,1,4.0,4.0,48,48.0,0.0004724409448818897,0.0004724409448818897,0.03225806451612903,0.06,0.03104495808991618,Low
Dare to Love (feat. BIG Naughty),B.I,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173,0.03225806451612903,0.06,0.03100952501905004,Low
Super Lady,(G)I-DLE,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173,0.03225806451612903,0.06,0.03100952501905004,Low
Steady,NCT WISH,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173,0.03225806451612903,0.06,0.03100952501905004,Low
Big Dawgs,Hanumankind & Kalmi,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486,0.03225806451612903,0.06,0.030974091948183898,Low
Pleasure Shop,KEY,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486,0.03225806451612903,0.06,0.030974091948183898,Low
Trust in me,Lim Young Woong,1,2.0,2.0,48,48.0,0.00023622047244094486,0.00023622047244094486,0.03225806451612903,0.06,0.030974091948183898,Low
Slow Dancing (Piano Ver.),V,1,54.0,54.0,49,49.0,0.0042519685039370085,0.0042519685039370085,0.03225806451612903,0.04,0.026178816357632716,Low
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,25.0,25.0,49,49.0,0.001968503937007874,0.001968503937007874,0.03225806451612903,0.04,0.02549377698755398,Low
Impossible,RIIZE,1,24.0,24.0,49,49.0,0.001889763779527559,0.001889763779527559,0.03225806451612903,0.04,0.025470154940309884,Low
ANTIFRAGILE,LE SSERAFIM,1,13.0,13.0,49,49.0,0.0010236220472440946,0.0010236220472440946,0.03225806451612903,0.04,0.025210312420624843,Low
Take Two,BTS,1,6.0,6.0,49,49.0,0.00047244094488188977,0.00047244094488188977,0.03225806451612903,0.04,0.02504495808991618,Low
Why?,PLAVE,1,5.0,5.0,49,49.0,0.0003937007874015748,0.0003937007874015748,0.03225806451612903,0.04,0.025021336042672086,Low
Nice Guy,BOYNEXTDOOR,1,5.0,5.0,49,49.0,0.0003937007874015748,0.0003937007874015748,0.03225806451612903,0.04,0.025021336042672086,Low
Fighting (Feat. Lee Young Ji),BSS,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983,0.03225806451612903,0.04,0.02499771399542799,Low
But Sometimes,BOYNEXTDOOR,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983,0.03225806451612903,0.04,0.02499771399542799,Low
MAESTRO,SEVENTEEN,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983,0.03225806451612903,0.04,0.02499771399542799,Low
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,1,11.0,11.0,50,50.0,0.0004330708661417323,0.0004330708661417323,0.03225806451612903,0.02,0.019033147066294134,Low
Baggy Jeans,NCT,1,7.0,7.0,50,50.0,0.00027559055118110237,0.00027559055118110237,0.03225806451612903,0.02,0.018985902971805944,Low
Fact Check,NCT 127,1,6.0,6.0,50,50.0,0.00023622047244094488,0.00023622047244094488,0.03225806451612903,0.02,0.018974091948183898,Low
Cupid,FIFTY FIFTY,1,5.0,5.0,50,50.0,0.0001968503937007874,0.0001968503937007874,0.03225806451612903,0.02,0.01896228092456185,Low
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low
SHEESH,BABYMONSTER,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low
I Had Some Help (Feat. Morgan Wallen),Post Malone & Morgan Wallen,1,4.0,4.0,50,50.0,0.00015748031496062991,0.00015748031496062991,0.03225806451612903,0.02,0.018950469900939803,Low
Girls Never Die,tripleS,1,3.0,3.0,50,50.0,0.00011811023622047244,0.00011811023622047244,0.03225806451612903,0.02,0.018938658877317754,Low
Tick-Tack,ILLIT,1,3.0,3.0,50,50.0,0.00011811023622047244,0.00011811023622047244,0.03225806451612903,0.02,0.018938658877317754,Low
euphoria,Kendrick Lamar,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low
greedy,Tate McRae,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low
Love Lee,AKMU,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low
Thirsty,aespa,1,2.0,2.0,50,50.0,7.874015748031496e-05,7.874015748031496e-05,0.03225806451612903,0.02,0.018926847853695708,Low
