song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score
Small girl (feat. D.O.),Lee Young Ji,5,2.8,6.0,11,35.0,0.0031496062992125984,0.0014803149606299212,0.16129032258064516,0.32,0.16096022352044703,Low,0.8,0.16093271526543054
Warmth,Lim Young Woong,4,2.5,3.0,18,34.0,0.0025984251968503938,0.0013681102362204725,0.12903225806451613,0.34,0.15402333629667259,Low,0.66,0.15610592614935231
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8,33.5,189.0,29,41.375,0.029763779527559056,0.008828740157480315,0.25806451612903225,0.1925,0.163624428498857,Low,0.44,0.1557544211963424
Who (Shibuyakei Remix),Jimin,8,5.625,30.0,31,41.375,0.023622047244094488,0.003533464566929134,0.25806451612903225,0.1925,0.16203584582169164,Low,0.4,0.15403345662941326
Alone,Jimin,6,4.666666666666667,18.0,23,38.0,0.005669291338582677,0.0018635170603674542,0.1935483870967742,0.26,0.1559784099568199,Low,0.56,0.1528475785284904
Beautiful Things,Benson Boone,4,2.0,2.0,21,34.75,0.002362204724409449,0.001279527559055118,0.12903225806451613,0.325,0.14949676149352298,Low,0.6,0.15120213677927358
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,4,7.5,21.0,28,35.25,0.019015748031496065,0.006023622047244095,0.12903225806451613,0.315,0.14791998983997967,Low,0.46,0.14949396748793498
Bubble Gum,NewJeans,7,3.0,8.0,15,40.42857142857143,0.0028346456692913383,0.0008830146231721033,0.22580645161290322,0.21142857142857138,0.15401605646068434,Low,0.72,0.14803352353133276
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1,14.0,14.0,31,31.0,0.011023622047244094,0.011023622047244094,0.03225806451612903,0.4,0.13621031242062484,Low,0.4,0.1448729997459995
Yes or No,Jung Kook,3,3.0,5.0,27,34.0,0.0018897637795275589,0.0014960629921259843,0.0967741935483871,0.34,0.14115849631699265,Low,0.48,0.14485718821437643
MILLION DOLLAR BABY,Tommy Richman,3,2.3333333333333335,3.0,24,34.0,0.0021259842519685043,0.0013517060367454071,0.0967741935483871,0.34,0.1411151892303785,Low,0.54,0.14481027220387774
Attention,NewJeans,10,26.7,211.0,37,46.7,0.10799212598425197,0.01136220472440945,0.3225806451612903,0.08599999999999994,0.15824091948183894,Low,0.28,0.14454594234188467
Super Shy,NewJeans,6,5.833333333333333,25.0,31,39.333333333333336,0.001968503937007874,0.0012204724409448817,0.1935483870967742,0.23333333333333328,0.14778549657099313,Low,0.4,0.14397192236051137
My Love Mine All Mine,Mitski,10,3.3,5.0,41,46.4,0.001968503937007874,0.0006811023622047244,0.3225806451612903,0.09200000000000003,0.15683658877317755,Low,0.2,0.14302458407416815
Please Don't Change (feat. DJ Snake),Jung Kook,10,4.0,8.0,36,46.5,0.002952755905511811,0.0007874015748031496,0.3225806451612903,0.09,0.15626847853695708,Low,0.3,0.14240913131826266
Who (Instrumental),Jimin,9,5.0,29.0,30,44.888888888888886,0.023976377952755906,0.0029615048118985126,0.2903225806451613,0.12222222222222229,0.15368415036830077,Low,0.42,0.1422976145118957
"yes, and?",Ariana Grande,3,8.333333333333334,20.0,29,34.666666666666664,0.01653543307086614,0.006325459317585301,0.0967741935483871,0.3266666666666667,0.13860731521463046,Low,0.44,0.14209340868681739
Cosmic,Red Velvet,1,2.0,2.0,31,31.0,0.0015748031496062992,0.0015748031496062992,0.03225806451612903,0.4,0.1333756667513335,Low,0.4,0.1418021336042672
Too Sad to Dance,Jung Kook,9,11.777777777777779,68.0,39,45.22222222222222,0.032125984251968505,0.004763779527559056,0.2903225806451613,0.11555555555555558,0.15222483278299892,Low,0.24,0.1407166871278187
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,9,17.11111111111111,72.0,37,45.666666666666664,0.011338582677165355,0.0023797025371828525,0.2903225806451613,0.10666666666666672,0.1488429430192194,Low,0.28,0.13705297321705756
Like Crazy (Deep House Remix),Jimin,9,3.6666666666666665,8.0,43,45.666666666666664,0.0025196850393700786,0.0008573928258967629,0.2903225806451613,0.10666666666666672,0.1483862501058336,Low,0.16,0.1365582225608896
Love 119,RIIZE,3,2.3333333333333335,3.0,26,35.333333333333336,0.001968503937007874,0.0012467191601049869,0.0967741935483871,0.3133333333333333,0.13308369316738633,Low,0.5,0.13610948480230292
Cupido,Engel Montaz & Kuv507 & Latinnites Music,1,2.0,2.0,32,32.0,0.0014960629921259843,0.0014960629921259843,0.03225806451612903,0.38,0.1273520447040894,Low,0.38,0.1352765430530861
Promise,Jimin,9,3.3333333333333335,8.0,42,45.888888888888886,0.0018897637795275589,0.0006386701662292213,0.2903225806451613,0.10222222222222228,0.14698729997459997,Low,0.18,0.1350426932520532
Drama,aespa,8,15.125,88.0,32,44.375,0.013858267716535434,0.0024704724409448818,0.25806451612903225,0.1325,0.14371694818389635,Low,0.38,0.1341879841884684
If I have you only (My love X Nerd Connection),Nerd Connection,9,17.444444444444443,129.0,42,46.44444444444444,0.025393700787401576,0.0033377077865266846,0.2903225806451613,0.09111111111111114,0.1444636779273559,Low,0.18,0.13230876936753877
Boom Boom Bass,RIIZE,4,2.0,2.0,25,37.75,0.002047244094488189,0.0010433070866141731,0.12903225806451613,0.265,0.13142589535179072,Low,0.52,0.13162536512573025
T.B.H,QWER,8,6.125,22.0,37,44.875,0.002755905511811024,0.0009694881889763781,0.25806451612903225,0.1225,0.1402666529083058,Low,0.28,0.1304501643065786
