song,artist,chart_appearance_days,best_chart_position,average_chart_position,average_popularity,total_chart_rows,album_type,is_explicit,album_cover_url,chart_presence_rate
MILLION DOLLAR BABY,Tommy Richman,118,12,26.550847457627118,90.77966101694915,118,single,False,https://i.scdn.co/image/ab67616d0000b273ce31aff39a003828576d3930,0.2126126126126126
Ditto,NewJeans,374,12,33.43850267379679,84.05882352941177,374,single,False,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,0.6738738738738739
Seven (feat. Latto) (Instrumental),Jung Kook & Latto & BTS,2,12,12.0,78.0,2,single,False,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,0.0036036036036036037
NIGHT DANCER,imase,48,12,28.729166666666668,76.875,48,album,False,https://i.scdn.co/image/ab67616d0000b2734b062591b6a5c15652dd2bb5,0.08648648648648649
DRIP,BABYMONSTER,24,12,18.333333333333332,76.25,24,album,False,https://i.scdn.co/image/ab67616d0000b273119800c5fc88785ee3ed1524,0.043243243243243246
To. X,TAEYEON,155,12,24.09032258064516,74.76774193548387,155,single,False,https://i.scdn.co/image/ab67616d0000b273ed4dcfaf5f63938ecd6c4d59,0.27927927927927926
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,6,12,25.666666666666668,72.66666666666667,6,single,False,https://i.scdn.co/image/ab67616d0000b273570b23ab8c94e857562ed8bc,0.010810810810810811
Broken Melodies,NCT DREAM,12,12,33.416666666666664,66.58333333333333,12,single,False,https://i.scdn.co/image/ab67616d0000b273c56ad1f03ab69a8a447d509c,0.021621621621621623
Boom Boom Bass,RIIZE,95,12,32.43157894736842,65.33684210526316,95,album,False,https://i.scdn.co/image/ab67616d0000b27369ad639dd6829cb2414a53f9,0.17117117117117117
Home,Lim Young Woong,191,12,23.24607329842932,62.63350785340314,191,single,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,0.3441441441441441
If We Ever Meet Again,Lim Young Woong,503,12,28.743538767395627,60.139165009940356,503,album,False,https://i.scdn.co/image/ab67616d0000b2738f116e476da669a9a3e7dcaa,0.9063063063063063
Travel Again (Feat. Cautious Clay),Beenzino,10,12,28.4,51.7,10,album,True,https://i.scdn.co/image/ab67616d0000b273ec4d37775e78943aa8bfe275,0.018018018018018018
HYAENA,Travis Scott,2,12,24.5,42.5,2,album,True,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,0.0036036036036036037
"yes, and?",Ariana Grande,43,13,30.651162790697676,92.46511627906976,43,single,True,https://i.scdn.co/image/ab67616d0000b2736b0b6e20fdb1ee07de7e92d6,0.07747747747747748
Last Christmas - Single Version,Wham!,8,13,28.375,89.0,8,album,False,https://i.scdn.co/image/ab67616d0000b2734b68569ae3fdd6fcd0f98615,0.014414414414414415
Paint The Town Red,Doja Cat,65,13,26.923076923076923,87.83076923076923,65,single,True,https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30,0.11711711711711711
Super,SEVENTEEN,79,13,30.164556962025316,87.54430379746836,79,single,False,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264,0.14234234234234233
Slow Dancing (Piano Ver.),V,60,13,25.216666666666665,85.53333333333333,60,single,False,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.10810810810810811
ALL RED,Playboi Carti,3,13,32.333333333333336,83.66666666666667,3,single,True,https://i.scdn.co/image/ab67616d0000b273ca15942c726ec9c39796435e,0.005405405405405406
Shot Glass of Tears,Jung Kook,44,13,32.72727272727273,83.02272727272727,44,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.07927927927927927
"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,15,13,27.066666666666666,74.73333333333333,15,single,False,https://i.scdn.co/image/ab67616d0000b273cb657e50a77865fe66d700bf,0.02702702702702703
Get A Guitar,RIIZE,189,13,33.592592592592595,69.56084656084656,189,single,False,https://i.scdn.co/image/ab67616d0000b27308f9aed64208e0f8d9e10f0e,0.34054054054054056
Pump Up The Volume!,PLAVE,40,13,34.875,63.875,40,single,False,https://i.scdn.co/image/ab67616d0000b2730521b4efcb4432ca54cf2baa,0.07207207207207207
