song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
OMG,NewJeans,15,14.2,55.0,40,45.6,0.021653543307086617,0.003902887139107612,0.4838709677419355,0.10799999999999997,0.22711925323850649,Medium,0.22,0.20572327702988738,0.031888815933464654,0.5062101808551898,0.514949434869174,0.3669725102835667,41,0.48306061893570934
Perfect Night,LE SSERAFIM,13,7.230769230769231,51.0,16,41.92307692307692,0.018070866141732284,0.002225923682616596,0.41935483870967744,0.1815384615384616,0.22287125105019442,Medium,0.7,0.20649761874523753,0.017904944694176472,0.4958813604928713,0.5170714742637105,0.35990497557305656,42,0.499166529569534
Grain of Sand,Lim Young Woong,7,3.4285714285714284,12.0,13,31.0,0.0029921259842519685,0.001687289088863892,0.22580645161290322,0.4,0.21082876737182046,Medium,0.76,0.2095806270183969,0.01341337585592346,0.46660061977849315,0.5255202829480878,0.3512663287110804,43,0.5121069070921643
All Or Nothing,J Money & KingLee,1,26.0,26.0,26,26.0,0.025590551181102362,0.025590551181102362,0.03225806451612903,0.5,0.17058039116078233,Low,0.5,0.18210725171450343,0.21273801707156928,0.36873855913675674,0.450231061742454,0.3504607724291945,44,0.2374930446708847
Bam Yang Gang,BIBI,3,3.0,5.0,10,23.666666666666668,0.003228346456692913,0.0023097112860892386,0.0967741935483871,0.5466666666666666,0.20340259080518158,Medium,0.82,0.21228829057658116,0.01860363318012694,0.4485442157712839,0.5329404808061093,0.3491007337561257,45,0.5143368476259824
EASY,LE SSERAFIM,10,6.1,35.0,3,37.1,0.0037795275590551177,0.001311023622047244,0.3225806451612903,0.27799999999999997,0.21282556515113027,Medium,0.96,0.20367930848361696,0.010275771503611293,0.47145574099738374,0.5093480554130537,0.3463640601947365,46,0.4990722839094424
London Boy,Lim Young Woong,10,4.0,18.0,15,37.5,0.0028346456692913383,0.0012125984251968504,0.3225806451612903,0.27,0.2103960375920752,Medium,0.72,0.20104732029464056,0.009455022980958636,0.4655484573825528,0.5021352415968213,0.34152580153706846,47,0.4926802186158627
Never Let Go,Jung Kook,2,2.0,2.0,20,22.5,0.002440944881889764,0.0022440944881889765,0.06451612903225806,0.57,0.19747967995935992,Low,0.62,0.20855997586995173,0.018056467498358503,0.43414293266534737,0.5227232465723579,0.3403201029827044,48,0.5046667790739994
Somebody,Jung Kook,15,5.333333333333333,35.0,41,47.333333333333336,0.002125984251968504,0.0005774278215223097,0.4838709677419355,0.07333333333333329,0.2157216154432309,Medium,0.2,0.19337583608500547,0.0041584591814401405,0.4784973530072949,0.48111197578962034,0.3371108028333524,49,0.4769535166081802
You Were Beautiful,DAY6,13,15.307692307692308,149.0,33,45.38461538461539,0.023464566929133856,0.0026196244700181707,0.41935483870967744,0.11230769230769226,0.2022201305171841,Medium,0.36,0.184125571501143,0.02118793878478711,0.4456691184057727,0.4557621522327615,0.3218573263589231,50,0.4345742134479744
All I Want for Christmas Is You,Mariah Carey,1,6.0,6.0,24,24.0,0.006377952755905512,0.006377952755905512,0.03225806451612903,0.54,0.17681661163322326,Low,0.54,0.18886315722631444,0.05252790544977019,0.3839016400732215,0.4687452362440128,0.31418477834596303,51,0.4162173307942426
Armageddon,aespa,5,2.0,2.0,16,30.6,0.0027559055118110236,0.0016062992125984252,0.16129032258064516,0.408,0.18739801879603757,Low,0.7,0.1895736601473203,0.012738017071569272,0.40962984098280864,0.47069232905642305,0.31193416463520185,52,0.45795431198485376
Love Always Run Away,Lim Young Woong,14,11.357142857142858,57.0,43,48.0,0.0061417322834645665,0.0010967379077615298,0.45161290322580644,0.06,0.19897418266265104,Low,0.16,0.17792095594905477,0.008488884720007504,0.4377767466958028,0.4387587564857932,0.3093340915295608,53,0.4302698717657857
With you,Jimin & HA SUNG WOON,4,57.75,201.0,28,41.25,0.18200787401574806,0.047194881889763785,0.12903225806451613,0.195,0.12427136779273558,Low,0.46,0.12387462693675387,0.39289231779382805,0.25614031593457487,0.29064786820396915,0.3092435597866388,54,0.13675200185925318
Fate,(G)I-DLE,4,2.75,5.0,9,29.0,0.003307086614173228,0.0017913385826771654,0.12903225806451613,0.44,0.1841503048006096,Low,0.84,0.18874347536195074,0.014281024294156272,0.40173317498313965,0.46841725490714725,0.3088369577498473,55,0.45413623061299097
Who (Funky Remix),Jimin,12,4.666666666666667,29.0,34,44.5,0.01940944881889764,0.0021358267716535435,0.3870967741935484,0.13,0.19447945770891542,Low,0.34,0.17842801466852934,0.01715364412344058,0.42684803136865446,0.4401483220441742,0.30859481693152213,56,0.42299467792073364
If We Ever Meet Again,Lim Young Woong,8,2.125,3.0,22,36.875,0.0022834645669291337,0.0011318897637795275,0.25806451612903225,0.2825,0.18831537338074675,Low,0.58,0.18250294481838963,0.008782009192383455,0.4118603461223964,0.45131543617036823,0.30474612656018263,57,0.44253342697798476
plot twist,TWS,4,3.5,8.0,11,29.75,0.0031496062992125984,0.001968503937007874,0.12903225806451613,0.425,0.1797034544069088,Low,0.8,0.1839260541021082,0.01575837163493106,0.39092086442901275,0.45521538615745605,0.30087519919574335,58,0.439457014522525
Face-off,Jimin,10,3.4,13.0,25,41.5,0.007165354330708662,0.001405511811023622,0.3225806451612903,0.19,0.1864539116078232,Low,0.52,0.1751100171450343,0.011063690085357847,0.40733428812818206,0.43105553869509805,0.29675554641375534,59,0.4199918486097402
