artist,songs_with_reentry,total_reentries,average_momentum_score,average_fandom_intensity,average_sustainability_score
G-DRAGON,2,3,0.004291338582677166,0.05664224028448057,0.05733016891033782
Stray Kids,1,1,0.0011023622047244095,0.055233934467868936,0.0571485902971806
Lauv,1,1,0.0008267716535433072,0.055151257302514606,0.05705902336804674
NAYEON,1,1,0.0005511811023622047,0.055068580137160275,0.05696945643891288
AKMU,3,5,0.0011023622047244095,0.05483608500550335,0.0549254720176107
Oasis,2,3,0.00043307086614173226,0.052484759969519935,0.052826231902463806
SZA,2,5,0.00043307086614173226,0.05388798577597155,0.05165822114977563
TOMORROW X TOGETHER,1,1,0.0007086614173228346,0.04911582423164846,0.05052063754127508
MEOVV,1,1,0.0004724409448818897,0.04904495808991618,0.050443865887731774
Travis Scott & Bad Bunny & The Weeknd,1,1,0.0005905511811023622,0.04308039116078232,0.04398225171450343
Future & Metro Boomin,1,1,0.0003937007874015748,0.04302133604267208,0.043918275336550676
IVE,3,8,0.0006824146981627297,0.045613326559986456,0.042245978325289986
Olivia Rodrigo,1,2,0.0003543307086614173,0.04391275082550165,0.04219580264160528
Jack Harlow,1,2,0.00027559055118110237,0.043889128778257555,0.04217021209042418
League of Legends & NewJeans,1,2,0.0004133858267716535,0.04093046736093472,0.03896499555499111
KATSEYE,1,2,0.00023622047244094486,0.0408773177546355,0.03890741681483363
PLAVE,3,4,0.003937007874015748,0.03838540343747354,0.037999957666582
FIFTY FIFTY,2,4,0.0003937007874015748,0.0399245618491237,0.03787526458386249
D.O.,1,1,0.0009448818897637795,0.037186690373380744,0.03759740919481839
ENHYPEN,1,1,0.0006299212598425197,0.037092202184404365,0.037495046990093976
Various Artists,2,2,0.00043307086614173226,0.03703314706629413,0.03743107061214122
Jin,1,1,0.00031496062992125983,0.03699771399542799,0.03739268478536957
ZEROBASEONE,1,2,0.00023622047244094486,0.03787731775463551,0.03565741681483363
WOODZ,1,2,0.0001968503937007874,0.037865506731013465,0.03564462153924308
SEVENTEEN,2,3,0.00033464566929133856,0.03445523241046482,0.03329424371348742
Crush,1,1,0.0007086614173228346,0.031115824231648465,0.03102063754127508
B.I,1,1,0.0003543307086614173,0.03100952501905004,0.03090548006096012
NCT WISH,1,1,0.0003543307086614173,0.03100952501905004,0.03090548006096012
KEY,1,1,0.00023622047244094486,0.030974091948183898,0.03086709423418847
